Dependency,Version,License,Link to Code
torch,2.2.1,BSD-3-Clause,https://github.com/pytorch/pytorch
torch-geometric,>=2.0.0,MIT,https://github.com/pyg-team/pytorch_geometric
networkx,>=2.5,BSD-3-Clause,https://github.com/networkx/networkx
scikit-learn,>=1.0.0,BSD-3-Clause,https://github.com/scikit-learn/scikit-learn
huggingface-hub,>=0.15.0,Apache-2.0,https://github.com/huggingface/huggingface_hub
pyvis,>=0.2.0,BSD-3-Clause,https://github.com/WestHealth/pyvis
tqdm,>=4.60.0,MPL-2.0 AND MIT,https://github.com/tqdm/tqdm
requests,>=2.25.0,Apache-2.0,https://github.com/psf/requests
arxiv,>=1.4.0,MIT,https://github.com/lukasschwab/arxiv.py
openai,>=1.0.0,Apache-2.0,https://github.com/openai/openai-python
litellm,>=1.0.0,MIT,https://github.com/BerriAI/litellm
google-genai,>=1.0.0,Apache-2.0,https://github.com/googleapis/python-genai
numpy,>=1.21.0,BSD-3-Clause,https://github.com/numpy/numpy
matplotlib,>=3.5.0,Matplotlib License (BSD-compatible PSF-based),https://github.com/matplotlib/matplotlib
sentence-transformers,>=3.0.0,Apache-2.0,https://github.com/UKPLab/sentence-transformers
einops,latest,MIT,https://github.com/arogozhnikov/einops
smolagents,latest,Apache-2.0,https://github.com/huggingface/smolagents
